"","r","var","r","var"
"129",0.698420939158818,"harvardox_cortical_1.X.harvardox_subcortical_2",0.70675704690298,"harvardox_cortical_17.X.harvardox_cortical_26"
"130",0.698420939158818,"harvardox_subcortical_2.X.harvardox_cortical_1",0.70675704690298,"harvardox_cortical_26.X.harvardox_cortical_17"
"131",0.696555647980482,"harvardox_cortical_24.X.harvardox_cortical_48",0.706614006762769,"harvardox_cortical_33.X.harvardox_cortical_8"
"132",0.696555647980482,"harvardox_cortical_48.X.harvardox_cortical_24",0.706614006762769,"harvardox_cortical_8.X.harvardox_cortical_33"
"133",0.693591229330078,"harvardox_cortical_1.X.harvardox_subcortical_13",0.706275733797883,"harvardox_cortical_13.X.harvardox_subcortical_2"
"134",0.693591229330078,"harvardox_subcortical_13.X.harvardox_cortical_1",0.706275733797883,"harvardox_subcortical_2.X.harvardox_cortical_13"
"135",0.693265725461773,"harvardox_cortical_39.X.harvardox_subcortical_12",0.704686535142095,"harvardox_cortical_13.X.harvardox_cortical_16"
"136",0.693265725461773,"harvardox_subcortical_12.X.harvardox_cortical_39",0.704686535142095,"harvardox_cortical_16.X.harvardox_cortical_13"
"137",0.690361924636846,"harvardox_cortical_40.X.harvardox_subcortical_2",0.703851707830861,"harvardox_cortical_39.X.harvardox_subcortical_13"
"138",0.690361924636846,"harvardox_subcortical_2.X.harvardox_cortical_40",0.703851707830861,"harvardox_subcortical_13.X.harvardox_cortical_39"
"139",0.689733664021978,"harvardox_cortical_31.X.harvardox_subcortical_13",0.703234867627569,"harvardox_cortical_36.X.harvardox_cortical_48"
"140",0.689733664021978,"harvardox_subcortical_13.X.harvardox_cortical_31",0.703234867627569,"harvardox_cortical_48.X.harvardox_cortical_36"
"141",0.688732027396589,"harvardox_cortical_22.X.harvardox_subcortical_1",0.701027763303335,"harvardox_cortical_36.X.harvardox_subcortical_13"
"142",0.688732027396589,"harvardox_subcortical_1.X.harvardox_cortical_22",0.701027763303335,"harvardox_subcortical_13.X.harvardox_cortical_36"
"143",0.686847736185975,"harvardox_cortical_13.X.harvardox_subcortical_2",0.699662271242164,"harvardox_cortical_40.X.harvardox_subcortical_13"
"144",0.686847736185975,"harvardox_subcortical_2.X.harvardox_cortical_13",0.699662271242164,"harvardox_subcortical_13.X.harvardox_cortical_40"
"145",0.686775481549393,"harvardox_cortical_42.X.harvardox_cortical_46",0.69925298710754,"harvardox_cortical_39.X.harvardox_subcortical_12"
"146",0.686775481549393,"harvardox_cortical_46.X.harvardox_cortical_42",0.69925298710754,"harvardox_subcortical_12.X.harvardox_cortical_39"
"147",0.68427949247302,"harvardox_cortical_18.X.harvardox_cortical_7",0.69766415240963,"harvardox_cortical_1.X.harvardox_cortical_33"
"148",0.68427949247302,"harvardox_cortical_7.X.harvardox_cortical_18",0.69766415240963,"harvardox_cortical_33.X.harvardox_cortical_1"
"149",0.684191256446967,"harvardox_cortical_36.X.harvardox_subcortical_2",0.696087729898564,"mPFC_sphere_10mm_mni2mm.X.harvardox_cortical_29"
"150",0.684191256446967,"harvardox_subcortical_2.X.harvardox_cortical_36",0.696087729898564,"harvardox_cortical_29.X.mPFC_sphere_10mm_mni2mm"
"151",0.683386370587456,"harvardox_cortical_1.X.harvardox_cortical_3",0.693685949087502,"harvardox_cortical_17.X.harvardox_cortical_19"
"152",0.683386370587456,"harvardox_cortical_3.X.harvardox_cortical_1",0.693685949087502,"harvardox_cortical_19.X.harvardox_cortical_17"
"153",0.683100425334875,"harvardox_cortical_4.X.harvardox_subcortical_13",0.692558653592489,"mPFC_sphere_5mm_anterior_mni2mm.X.mPFC_sphere_5mm_mni2mm"
"154",0.683100425334875,"harvardox_subcortical_13.X.harvardox_cortical_4",0.692558653592489,"mPFC_sphere_5mm_mni2mm.X.mPFC_sphere_5mm_anterior_mni2mm"
"155",0.682956173233651,"harvardox_cortical_36.X.harvardox_subcortical_12",0.692487942809598,"harvardox_cortical_36.X.harvardox_subcortical_2"
